policy,seats,quote_rate,take_rate,reveal_rate,wait_rate,buy_rate,sell_rate,pass_rate,take_opportunity_rate,missed_take_rate,maker_volume_per_episode,taker_volume_per_episode,maker_markout,taker_markout,quote_toxicity,quote_mid_dispersion
linear-v3,2,0.503,0.156,0.16899999999999998,0.172,0.081,0.075,0.0,0.373,0.7909999999999999,0.17,2.34,-0.03,0.13,0.003,2.47
linear-v3,4,0.529,0.156,0.129,0.18600000000000003,0.086,0.07,0.0,0.247,0.746,0.76,2.34,0.1,0.25,0.002,3.59
linear-v3,6,0.529,0.16899999999999998,0.121,0.18100000000000002,0.08800000000000001,0.08199999999999999,0.0,0.153,0.659,0.91,2.54,-0.29,0.26,0.003,4.36
linear-v3,8,0.501,0.175,0.127,0.19699999999999998,0.08900000000000001,0.086,0.0,0.138,0.56,0.83,2.62,-0.65,1.04,0.003,5.6
linear-v3,10,0.518,0.18899999999999997,0.107,0.185,0.091,0.099,0.0,0.111,0.603,0.91,2.84,-0.86,0.97,0.003,6.94
Bootstrap,2,0.47600000000000003,0.23600000000000002,0.14800000000000002,0.139,0.129,0.107,0.0,0.501,0.7,2.82,3.54,-0.48,0.66,0.026,2.91
Bootstrap,4,0.579,0.161,0.125,0.134,0.081,0.08,0.0,0.267,0.6829999999999999,6.44,2.42,-1.08,0.97,0.029,4.03
Bootstrap,6,0.563,0.17300000000000001,0.12300000000000001,0.141,0.08900000000000001,0.084,0.0,0.17600000000000002,0.5579999999999999,7.58,2.6,-1.63,0.97,0.038,5.23
Bootstrap,8,0.552,0.213,0.12300000000000001,0.11199999999999999,0.126,0.087,0.0,0.171,0.49700000000000005,8.66,3.2,-2.15,1.76,0.044,6.52
Bootstrap,10,0.5670000000000001,0.182,0.11,0.141,0.091,0.092,0.0,0.128,0.43700000000000006,8.93,2.73,-2.75,2.69,0.046,7.59
Neural Bootstrap,2,0.489,0.195,0.156,0.16,0.10300000000000001,0.092,0.0,0.43700000000000006,0.715,2.48,2.92,-0.58,0.68,0.026,2.89
Neural Bootstrap,4,0.5870000000000001,0.16699999999999998,0.10400000000000001,0.142,0.08199999999999999,0.084,0.0,0.268,0.66,6.72,2.5,-1.07,0.95,0.031,3.68
Neural Bootstrap,6,0.5820000000000001,0.172,0.12300000000000001,0.124,0.096,0.076,0.0,0.201,0.569,8.13,2.58,-1.61,1.45,0.036,5.07
Neural Bootstrap,8,0.568,0.179,0.124,0.129,0.10300000000000001,0.076,0.0,0.17300000000000001,0.479,9.02,2.68,-1.98,2.54,0.04,6.15
Neural Bootstrap,10,0.603,0.15,0.113,0.134,0.086,0.064,0.0,0.131,0.47,10.59,2.25,-2.74,3.28,0.047,7.23
Wait,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47600000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wait,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21899999999999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wait,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.139,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wait,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.127,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Wait,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.064,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanced Baseline,2,0.59,0.149,0.046,0.21600000000000003,0.086,0.063,0.0,0.41200000000000003,0.759,2.16,2.23,-0.36,0.46,0.026,2.79
Balanced Baseline,4,0.5870000000000001,0.096,0.054000000000000006,0.262,0.051,0.045,0.0,0.20600000000000002,0.755,1.27,1.44,-0.62,0.51,0.013,3.48
Balanced Baseline,6,0.5820000000000001,0.12300000000000001,0.053,0.242,0.062,0.061,0.0,0.155,0.706,1.38,1.85,-1.84,0.49,0.016,4.61
Balanced Baseline,8,0.597,0.11900000000000001,0.044000000000000004,0.239,0.076,0.044000000000000004,0.0,0.11900000000000001,0.66,1.64,1.79,-1.57,1.25,0.013,5.31
