Seed 7 | objective hybrid-as | selector pareto-live-gate | linear bc 30000 | linear ppo 40000 | neural off | neural bc 30000 | neural ppo 40000 | workers 11

BC linear    [----------------------------]   0.2% 64/30000 |    4.2/s | elapsed 15s | eta 1h 59m 17s | process workers | examples 6120 | q 2659 t 720 r 402
BC linear    [----------------------------]   0.4% 128/30000 |    8.2/s | elapsed 16s | eta 1h 0m 49s | process workers | examples 12075 | q 5398 t 1442 r 741
BC linear    [----------------------------]   0.6% 192/30000 |   11.9/s | elapsed 16s | eta 41m 38s | process workers | examples 18236 | q 8294 t 2047 r 1118 
BC linear    [----------------------------]   0.9% 256/30000 |   15.7/s | elapsed 16s | eta 31m 37s | process workers | examples 24374 | q 11182 t 2570 r 1497
BC linear    [----------------------------]   1.1% 320/30000 |   19.2/s | elapsed 17s | eta 25m 49s | process workers | examples 30793 | q 14081 t 3310 r 1877
BC linear    [----------------------------]   1.3% 384/30000 |   22.5/s | elapsed 17s | eta 21m 57s | process workers | examples 37228 | q 16981 t 4038 r 2266
BC linear    [----------------------------]   1.5% 448/30000 |   26.1/s | elapsed 17s | eta 18m 53s | process workers | examples 43904 | q 19969 t 4906 r 2648
BC linear    [----------------------------]   1.7% 512/30000 |   29.2/s | elapsed 18s | eta 16m 49s | process workers | examples 50916 | q 22973 t 6140 r 3021
BC linear    [----------------------------]   1.9% 576/30000 |   32.6/s | elapsed 18s | eta 15m 3s | process workers | examples 58044 | q 25911 t 7430 r 3418 
BC linear    [----------------------------]   2.3% 704/30000 |   39.2/s | elapsed 18s | eta 12m 27s | process workers | examples 71447 | q 31954 t 8843 r 4194
BC linear    [----------------------------]   2.6% 768/30000 |   25.2/s | elapsed 30s | eta 19m 20s | process workers | examples 77607 | q 34567 t 9685 r 4582
BC linear    [----------------------------]   2.8% 832/30000 |   26.0/s | elapsed 32s | eta 18m 43s | process workers | examples 83605 | q 37181 t 10511 r 4944
BC linear    [----------------------------]   3.0% 896/30000 |   27.9/s | elapsed 32s | eta 17m 25s | process workers | examples 89690 | q 39822 t 11434 r 5276
BC linear    [----------------------------]   3.2% 960/30000 |   29.7/s | elapsed 32s | eta 16m 16s | process workers | examples 96122 | q 42808 t 11899 r 5654
BC linear    [----------------------------]   3.4% 1024/30000 |   31.6/s | elapsed 32s | eta 15m 18s | process workers | examples 102225 | q 45536 t 12590 r 6043
BC linear    [#---------------------------]   4.1% 1216/30000 |   37.4/s | elapsed 33s | eta 12m 50s | process workers | examples 121842 | q 54431 t 14299 r 7284
BC linear    [#---------------------------]   4.3% 1280/30000 |   39.0/s | elapsed 33s | eta 12m 16s | process workers | examples 128052 | q 57242 t 14787 r 7689
BC linear    [#---------------------------]   4.7% 1408/30000 |   42.5/s | elapsed 33s | eta 11m 13s | process workers | examples 140904 | q 63004 t 16328 r 8446
BC linear    [#---------------------------]   4.9% 1472/30000 |   30.9/s | elapsed 48s | eta 15m 23s | process workers | examples 146800 | q 65506 t 16944 r 8839
BC linear    [#---------------------------]   5.1% 1536/30000 |   32.0/s | elapsed 48s | eta 14m 50s | process workers | examples 152594 | q 68066 t 17309 r 9254
BC linear    [#---------------------------]   5.5% 1664/30000 |   34.5/s | elapsed 48s | eta 13m 42s | process workers | examples 164752 | q 73392 t 18670 r 10005
BC linear    [#---------------------------]   5.8% 1728/30000 |   34.9/s | elapsed 49s | eta 13m 29s | process workers | examples 171210 | q 76292 t 19423 r 10393
BC linear    [#---------------------------]   6.0% 1792/30000 |   36.0/s | elapsed 50s | eta 13m 3s | process workers | examples 177690 | q 79344 t 19975 r 10758 
BC linear    [#---------------------------]   6.4% 1920/30000 |   38.4/s | elapsed 50s | eta 12m 11s | process workers | examples 191005 | q 85115 t 22158 r 11509
BC linear    [#---------------------------]   6.8% 2048/30000 |   40.7/s | elapsed 50s | eta 11m 27s | process workers | examples 204292 | q 91100 t 23464 r 12335
BC linear    [#---------------------------]   7.0% 2112/30000 |   41.7/s | elapsed 51s | eta 11m 9s | process workers | examples 211280 | q 94195 t 24634 r 12719 
BC linear    [##--------------------------]   7.3% 2176/30000 |   34.5/s | elapsed 1m 3s | eta 13m 27s | process workers | examples 217092 | q 96847 t 24999 r 13119
BC linear    [##--------------------------]   7.5% 2240/30000 |   35.0/s | elapsed 1m 4s | eta 13m 13s | process workers | examples 223466 | q 99714 t 25798 r 13495
BC linear    [##--------------------------]   7.7% 2304/30000 |   35.6/s | elapsed 1m 5s | eta 12m 59s | process workers | examples 230167 | q 102584 t 26651 r 13880
BC linear    [##--------------------------]   8.1% 2432/30000 |   37.1/s | elapsed 1m 6s | eta 12m 23s | process workers | examples 242552 | q 108259 t 27749 r 14651
BC linear    [##--------------------------]   8.7% 2624/30000 |   39.8/s | elapsed 1m 6s | eta 11m 28s | process workers | examples 262161 | q 117057 t 29445 r 15848
BC linear    [##--------------------------]   9.0% 2688/30000 |   40.7/s | elapsed 1m 6s | eta 11m 11s | process workers | examples 269056 | q 120218 t 30406 r 16225
